time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-29 00:00:00+00:00,0,0,3,3
2022-08-30 00:00:00+00:00,24,9,49,14
2022-08-31 00:00:00+00:00,4,2,6,2
2022-09-01 00:00:00+00:00,0,0,2,2
2022-09-03 00:00:00+00:00,4,2,6,2
2022-09-04 00:00:00+00:00,0,0,1,1
2022-09-05 00:00:00+00:00,0,0,5,2
2022-09-06 00:00:00+00:00,5,4,5,3
2022-09-07 00:00:00+00:00,5,4,10,3
2022-09-08 00:00:00+00:00,2,2,10,5
2022-09-09 00:00:00+00:00,1,1,0,0
2022-09-10 00:00:00+00:00,0,0,3,1
2022-09-11 00:00:00+00:00,10,8,47,4
2022-09-12 00:00:00+00:00,19,7,58,3
2022-09-13 00:00:00+00:00,3,2,5,3
2022-09-14 00:00:00+00:00,3,3,3,3
2022-09-15 00:00:00+00:00,1,1,1,1
2022-09-16 00:00:00+00:00,3,2,3,2
2022-09-17 00:00:00+00:00,1,1,1,1
2022-09-18 00:00:00+00:00,10,7,27,3
2022-09-19 00:00:00+00:00,9,3,17,7
2022-09-20 00:00:00+00:00,19,2,21,7
2022-09-21 00:00:00+00:00,12,7,28,5
2022-09-22 00:00:00+00:00,3,2,5,1
2022-09-23 00:00:00+00:00,6,4,2,2
2022-09-24 00:00:00+00:00,1,1,0,0
2022-09-25 00:00:00+00:00,13,4,12,3
2022-09-26 00:00:00+00:00,30,10,61,6
2022-09-27 00:00:00+00:00,3,3,2,1
2022-09-28 00:00:00+00:00,2,2,1,1
2022-09-29 00:00:00+00:00,2,2,2,1
2022-09-30 00:00:00+00:00,4,3,0,0
2022-10-01 00:00:00+00:00,4,4,5,4
2022-10-02 00:00:00+00:00,7,6,2,2
2022-10-03 00:00:00+00:00,29,7,19,2
2022-10-04 00:00:00+00:00,5,2,2,1
2022-10-05 00:00:00+00:00,1,1,2,2
2022-10-06 00:00:00+00:00,4,4,6,2
2022-10-07 00:00:00+00:00,3,2,1,1
2022-10-08 00:00:00+00:00,9,4,2,1
2022-10-09 00:00:00+00:00,2,2,0,0
2022-10-10 00:00:00+00:00,3,3,1,1
2022-10-11 00:00:00+00:00,2,2,7,5
2022-10-12 00:00:00+00:00,2,2,1,1
